doc_id,filename,page_count,approx_token_count
78461539a8b7238c314b7dd56483e1682c5e1ce7f3cf8fc6947e22c0ac5d0d18,78461539a8b7238c314b7dd56483e1682c5e1ce7f3cf8fc6947e22c0ac5d0d18.pdf,4,3200
78ffe994cdc61ce6a2a6937c79fc52751bb5d2b4eaa4019f088fbccf70569c26,78ffe994cdc61ce6a2a6937c79fc52751bb5d2b4eaa4019f088fbccf70569c26.pdf,5,4000
7a288e5ccc9cf410418f9786f72eaf82becf52c4070446a61bc9eecee004601f,7a288e5ccc9cf410418f9786f72eaf82becf52c4070446a61bc9eecee004601f.pdf,12,9600
7a852920f26de500808a071c4c3e125a1a4a079649aee58edc5f96c2e158a9f1,7a852920f26de500808a071c4c3e125a1a4a079649aee58edc5f96c2e158a9f1.pdf,8,6400
8135757fe11e278d356c3db494b2baab34e9682bd296683021f5162eef1065f9,8135757fe11e278d356c3db494b2baab34e9682bd296683021f5162eef1065f9.pdf,11,8800
839de9798f377492eee68f82b202d7cd3544be83d799f6226a02f3678c9bb914,839de9798f377492eee68f82b202d7cd3544be83d799f6226a02f3678c9bb914.pdf,41,32800
897ab23ed5a70034d3d708d871ad1da8bc7b6608d94b1ca46b5d578d985d3c13,897ab23ed5a70034d3d708d871ad1da8bc7b6608d94b1ca46b5d578d985d3c13.pdf,2,1600
8f507f768bb46f4ec93c131e6235d956f7db755a60c1341a3bef0f3197c255dd,8f507f768bb46f4ec93c131e6235d956f7db755a60c1341a3bef0f3197c255dd.pdf,537,429600
96be25a94c84742ae6b7b6e2275376c2393312c7097682f1135590d76d55e727,96be25a94c84742ae6b7b6e2275376c2393312c7097682f1135590d76d55e727.pdf,9,7200
ad76dc7093851d116c8878802b815608adceed54f6b5195ae04ffec28ae25d32,ad76dc7093851d116c8878802b815608adceed54f6b5195ae04ffec28ae25d32.pdf,23,18400
b02055aab210dceb055711108f8d4b8a75e8b3c935efe5cab3291ac9a07abada,b02055aab210dceb055711108f8d4b8a75e8b3c935efe5cab3291ac9a07abada.pdf,5,4000
b164f6e841bdd425f5fb1bf7913406fcdd82ab8c44bf6440bb47650d012f9af3,b164f6e841bdd425f5fb1bf7913406fcdd82ab8c44bf6440bb47650d012f9af3.pdf,70,56000
b486db089615010a9b45bc71411b5a238a0a0b9aaf074d875f98f5b934f75079,b486db089615010a9b45bc71411b5a238a0a0b9aaf074d875f98f5b934f75079.pdf,4,3200
b82ac8228e051d96bf8d706d3251893ebff1c9457b066fce3b7cb99af956f2a7,b82ac8228e051d96bf8d706d3251893ebff1c9457b066fce3b7cb99af956f2a7.pdf,25,20000
bd2d222ee0a636a745434cfb457321cd658db5bb32b5f0a3f5643236cc1503d8,bd2d222ee0a636a745434cfb457321cd658db5bb32b5f0a3f5643236cc1503d8.pdf,14,11200
bd427f328c98eda1f08f1dcca94816894273c14148b9a55836491f7f2bebaf62,bd427f328c98eda1f08f1dcca94816894273c14148b9a55836491f7f2bebaf62.pdf,2,1600
c98c1475692bc22f4abab6a7a7d7969467c94e46a7e68919aaf127179ebf3f54,c98c1475692bc22f4abab6a7a7d7969467c94e46a7e68919aaf127179ebf3f54.pdf,13,10400
d32e76d495ac7d855d805fb71682b98d254520e3799aa4529ebc983212648335,d32e76d495ac7d855d805fb71682b98d254520e3799aa4529ebc983212648335.pdf,11,8800
dbe11c5a8dedb41beb61f9ceb04121b49b037741af11efc934962fa1b4a5f2c2,dbe11c5a8dedb41beb61f9ceb04121b49b037741af11efc934962fa1b4a5f2c2.pdf,2,1600
df1355930bf24acf13f161965f6f413db2877773a500f4d5a804a1e3f951166e,df1355930bf24acf13f161965f6f413db2877773a500f4d5a804a1e3f951166e.pdf,4,3200
e4741149b9a44c7cd24286313a2c89e92923b8e99786d4b02107f093aa8293c2,e4741149b9a44c7cd24286313a2c89e92923b8e99786d4b02107f093aa8293c2.pdf,7,5600
e9a32d22eb9bac59756c1fe25e6d5ffd09d75582efcbe191fe8f078145cc08a5,e9a32d22eb9bac59756c1fe25e6d5ffd09d75582efcbe191fe8f078145cc08a5.pdf,9,7200
ea81bf0f8c1d423dd61e6d2901ca7872209185eb8e25e05a672148a9fb3e635e,ea81bf0f8c1d423dd61e6d2901ca7872209185eb8e25e05a672148a9fb3e635e.pdf,12,9600
f4c4d051d514270964adcf58e124569e396602340b7d9172671759de10a95897,f4c4d051d514270964adcf58e124569e396602340b7d9172671759de10a95897.pdf,4,3200
fbdd7f9dd299d83b1f398778da2e6765dfaaed62005667264734a1f76ec09071,fbdd7f9dd299d83b1f398778da2e6765dfaaed62005667264734a1f76ec09071.pdf,17,13600
ff746f7b583490a80ba104361c0a82a1ebbf7ed9097cd03dc49d744cb5057761,ff746f7b583490a80ba104361c0a82a1ebbf7ed9097cd03dc49d744cb5057761.pdf,7,5600
